name,type,url,dicname
CORDEX-ARC-22_CCCma-CanESM2_historical_r1i1p1_CCCma-CanRCM4_r2,projection,https://data.meteo.unican.es/thredds/dodsC/devel/c3s34d/CORDEX/output/ARC-22/CCCma-CanESM2/historical/CCCma-CanRCM4/r2/day/CORDEX_output_ARC-22_CCCma-CanESM2_historical_r1i1p1_CCCma-CanRCM4_r2_day,CORDEX.dic
CORDEX-ARC-22_CCCma-CanESM2_rcp45_r1i1p1_CCCma-CanRCM4_r2,projection,https://data.meteo.unican.es/thredds/dodsC/devel/c3s34d/CORDEX/output/ARC-22/CCCma-CanESM2/rcp45/CCCma-CanRCM4/r2/day/CORDEX_output_ARC-22_CCCma-CanESM2_rcp45_r1i1p1_CCCma-CanRCM4_r2_day,CORDEX.dic
CORDEX-ARC-22_CCCma-CanESM2_rcp85_r1i1p1_CCCma-CanRCM4_r2,projection,https://data.meteo.unican.es/thredds/dodsC/devel/c3s34d/CORDEX/output/ARC-22/CCCma-CanESM2/rcp85/CCCma-CanRCM4/r2/day/CORDEX_output_ARC-22_CCCma-CanESM2_rcp85_r1i1p1_CCCma-CanRCM4_r2_day,CORDEX.dic
CORDEX-ARC-22_ECMWF-ERAINT_evaluation_r1i1p1_CCCma-CanRCM4_r2,projection,https://data.meteo.unican.es/thredds/dodsC/devel/c3s34d/CORDEX/output/ARC-22/ECMWF-ERAINT/evaluation/CCCma-CanRCM4/r2/day/CORDEX_output_ARC-22_ECMWF-ERAINT_evaluation_r1i1p1_CCCma-CanRCM4_r2_day,CORDEX.dic
CORDEX-ARC-22_ECMWF-ERAINT_evaluation_r1i1p1_UQAM-CRCM5_v1,projection,https://data.meteo.unican.es/thredds/dodsC/devel/c3s34d/CORDEX/output/ARC-22/ECMWF-ERAINT/evaluation/UQAM-CRCM5/v1/day/CORDEX_output_ARC-22_ECMWF-ERAINT_evaluation_r1i1p1_UQAM-CRCM5_v1_day,CORDEX.dic
CORDEX-ARC-44_CCCma-CanESM2_historical_r1i1p1_CCCma-CanRCM4_r2,projection,https://data.meteo.unican.es/thredds/dodsC/devel/c3s34d/CORDEX/output/ARC-44/CCCma-CanESM2/historical/CCCma-CanRCM4/r2/day/CORDEX_output_ARC-44_CCCma-CanESM2_historical_r1i1p1_CCCma-CanRCM4_r2_day,CORDEX.dic
CORDEX-ARC-44_CCCma-CanESM2_historical_r1i1p1_SMHI-RCA4_v1,projection,https://data.meteo.unican.es/thredds/dodsC/devel/c3s34d/CORDEX/output/ARC-44/CCCma-CanESM2/historical/SMHI-RCA4/v1/day/CORDEX_output_ARC-44_CCCma-CanESM2_historical_r1i1p1_SMHI-RCA4_v1_day,CORDEX.dic
CORDEX-ARC-44_CCCma-CanESM2_historical_r1i1p1_UQAM-CRCM5_v1,projection,https://data.meteo.unican.es/thredds/dodsC/devel/c3s34d/CORDEX/output/ARC-44/CCCma-CanESM2/historical/UQAM-CRCM5/v1/day/CORDEX_output_ARC-44_CCCma-CanESM2_historical_r1i1p1_UQAM-CRCM5_v1_day,CORDEX.dic
CORDEX-ARC-44_CCCma-CanESM2_rcp45_r1i1p1_CCCma-CanRCM4_r2,projection,https://data.meteo.unican.es/thredds/dodsC/devel/c3s34d/CORDEX/output/ARC-44/CCCma-CanESM2/rcp45/CCCma-CanRCM4/r2/day/CORDEX_output_ARC-44_CCCma-CanESM2_rcp45_r1i1p1_CCCma-CanRCM4_r2_day,CORDEX.dic
CORDEX-ARC-44_CCCma-CanESM2_rcp45_r1i1p1_SMHI-RCA4_v1,projection,https://data.meteo.unican.es/thredds/dodsC/devel/c3s34d/CORDEX/output/ARC-44/CCCma-CanESM2/rcp45/SMHI-RCA4/v1/day/CORDEX_output_ARC-44_CCCma-CanESM2_rcp45_r1i1p1_SMHI-RCA4_v1_day,CORDEX.dic
