name,type,url,dicname
CORDEX-ARC-22_CCCma-CanESM2_historical_r1i1p1_CCCma-CanRCM4_r2,projection,https://data.meteo.unican.es/thredds/dodsC/devel/c3s34d/CORDEX/output/ARC-22/CCCma-CanESM2/historical/CCCma-CanRCM4/r2/day/CORDEX_output_ARC-22_CCCma-CanESM2_historical_r1i1p1_CCCma-CanRCM4_r2_day,CORDEX.dic
CORDEX-ARC-22_CCCma-CanESM2_rcp45_r1i1p1_CCCma-CanRCM4_r2,projection,https://data.meteo.unican.es/thredds/dodsC/devel/c3s34d/CORDEX/output/ARC-22/CCCma-CanESM2/rcp45/CCCma-CanRCM4/r2/day/CORDEX_output_ARC-22_CCCma-CanESM2_rcp45_r1i1p1_CCCma-CanRCM4_r2_day,CORDEX.dic
CORDEX-ARC-22_CCCma-CanESM2_rcp85_r1i1p1_CCCma-CanRCM4_r2,projection,https://data.meteo.unican.es/thredds/dodsC/devel/c3s34d/CORDEX/output/ARC-22/CCCma-CanESM2/rcp85/CCCma-CanRCM4/r2/day/CORDEX_output_ARC-22_CCCma-CanESM2_rcp85_r1i1p1_CCCma-CanRCM4_r2_day,CORDEX.dic
CORDEX-ARC-22_ECMWF-ERAINT_evaluation_r1i1p1_CCCma-CanRCM4_r2,projection,https://data.meteo.unican.es/thredds/dodsC/devel/c3s34d/CORDEX/output/ARC-22/ECMWF-ERAINT/evaluation/CCCma-CanRCM4/r2/day/CORDEX_output_ARC-22_ECMWF-ERAINT_evaluation_r1i1p1_CCCma-CanRCM4_r2_day,CORDEX.dic
CORDEX-ARC-22_ECMWF-ERAINT_evaluation_r1i1p1_UQAM-CRCM5_v1,projection,https://data.meteo.unican.es/thredds/dodsC/devel/c3s34d/CORDEX/output/ARC-22/ECMWF-ERAINT/evaluation/UQAM-CRCM5/v1/day/CORDEX_output_ARC-22_ECMWF-ERAINT_evaluation_r1i1p1_UQAM-CRCM5_v1_day,CORDEX.dic
CORDEX-ARC-44_ECMWF-ERAINT_evaluation_r1i1p1_AWI-HIRHAM5_v1,projection,https://data.meteo.unican.es/thredds/dodsC/devel/c3s34d/CORDEX/output/ARC-44/ECMWF-ERAINT/evaluation/AWI-HIRHAM5/v1/day/CORDEX_output_ARC-44_ECMWF-ERAINT_evaluation_r1i1p1_AWI-HIRHAM5_v1_day,CORDEX.dic
CORDEX-ARC-44_MPI-M-MPI-ESM-LR_rcp85_r1i1p1_AWI-HIRHAM5_v2,projection,https://data.meteo.unican.es/thredds/dodsC/devel/c3s34d/CORDEX/output/ARC-44/MPI-M-MPI-ESM-LR/rcp85/AWI-HIRHAM5/v2/day/CORDEX_output_ARC-44_MPI-M-MPI-ESM-LR_rcp85_r1i1p1_AWI-HIRHAM5_v2_day,CORDEX.dic
CORDEX-ARC-44_ECMWF-ERAINT_evaluation_r1i1p1_BCCR-WRF331_v1,projection,https://data.meteo.unican.es/thredds/dodsC/devel/c3s34d/CORDEX/output/ARC-44/ECMWF-ERAINT/evaluation/BCCR-WRF331/v1/day/CORDEX_output_ARC-44_ECMWF-ERAINT_evaluation_r1i1p1_BCCR-WRF331_v1_day,CORDEX.dic
CORDEX-ARC-44_CCCma-CanESM2_historical_r1i1p1_CCCma-CanRCM4_r2,projection,https://data.meteo.unican.es/thredds/dodsC/devel/c3s34d/CORDEX/output/ARC-44/CCCma-CanESM2/historical/CCCma-CanRCM4/r2/day/CORDEX_output_ARC-44_CCCma-CanESM2_historical_r1i1p1_CCCma-CanRCM4_r2_day,CORDEX.dic
CORDEX-ARC-44_CCCma-CanESM2_rcp45_r1i1p1_CCCma-CanRCM4_r2,projection,https://data.meteo.unican.es/thredds/dodsC/devel/c3s34d/CORDEX/output/ARC-44/CCCma-CanESM2/rcp45/CCCma-CanRCM4/r2/day/CORDEX_output_ARC-44_CCCma-CanESM2_rcp45_r1i1p1_CCCma-CanRCM4_r2_day,CORDEX.dic
