name,type,url,dicname
CMIP5_ACCESS1-0_r1i1p1_historical,projection,/oceano/gmeteo/WORK/PROYECTOS/2018_IPCC/tds-cluster/scenarios/data.meteo.unican.es/ncmls/ipcc-ar5/cmip5/historical/historical_day_ACCESS1-0_r1i1p1.ncml,CMIP5.dic
CMIP5_ACCESS1-3_r1i1p1_historical,projection,/oceano/gmeteo/WORK/PROYECTOS/2018_IPCC/tds-cluster/scenarios/data.meteo.unican.es/ncmls/ipcc-ar5/cmip5/historical/historical_day_ACCESS1-3_r1i1p1.ncml,CMIP5.dic
CMIP5_bcc-csm1-1-m_r1i1p1_historical,projection,/oceano/gmeteo/WORK/PROYECTOS/2018_IPCC/tds-cluster/scenarios/data.meteo.unican.es/ncmls/ipcc-ar5/cmip5/historical/historical_day_bcc-csm1-1-m_r1i1p1.ncml,CMIP5.dic
CMIP5_bcc-csm1-1_r1i1p1_historical,projection,/oceano/gmeteo/WORK/PROYECTOS/2018_IPCC/tds-cluster/scenarios/data.meteo.unican.es/ncmls/ipcc-ar5/cmip5/historical/historical_day_bcc-csm1-1_r1i1p1.ncml,CMIP5.dic
CMIP5_BNU-ESM_r1i1p1_historical,projection,/oceano/gmeteo/WORK/PROYECTOS/2018_IPCC/tds-cluster/scenarios/data.meteo.unican.es/ncmls/ipcc-ar5/cmip5/historical/historical_day_BNU-ESM_r1i1p1.ncml,CMIP5.dic
CMIP5_CanCM4_r1i1p1_historical,projection,/oceano/gmeteo/WORK/PROYECTOS/2018_IPCC/tds-cluster/scenarios/data.meteo.unican.es/ncmls/ipcc-ar5/cmip5/historical/historical_day_CanCM4_r1i1p1.ncml,CMIP5.dic
CMIP5_CanESM2_r1i1p1_historical,projection,/oceano/gmeteo/WORK/PROYECTOS/2018_IPCC/tds-cluster/scenarios/data.meteo.unican.es/ncmls/ipcc-ar5/cmip5/historical/historical_day_CanESM2_r1i1p1.ncml,CMIP5.dic
CMIP5_CCSM4_r1i1p1_historical,projection,/oceano/gmeteo/WORK/PROYECTOS/2018_IPCC/tds-cluster/scenarios/data.meteo.unican.es/ncmls/ipcc-ar5/cmip5/historical/historical_day_CCSM4_r1i1p1.ncml,CMIP5.dic
CMIP5_CESM1-BGC_r1i1p1_historical,projection,/oceano/gmeteo/WORK/PROYECTOS/2018_IPCC/tds-cluster/scenarios/data.meteo.unican.es/ncmls/ipcc-ar5/cmip5/historical/historical_day_CESM1-BGC_r1i1p1.ncml,CMIP5.dic
CMIP5_CESM1-FASTCHEM_r1i1p1_historical,projection,/oceano/gmeteo/WORK/PROYECTOS/2018_IPCC/tds-cluster/scenarios/data.meteo.unican.es/ncmls/ipcc-ar5/cmip5/historical/historical_day_CESM1-FASTCHEM_r1i1p1.ncml,CMIP5.dic
CMIP5_CMCC-CESM_r1i1p1_historical,projection,/oceano/gmeteo/WORK/PROYECTOS/2018_IPCC/tds-cluster/scenarios/data.meteo.unican.es/ncmls/ipcc-ar5/cmip5/historical/historical_day_CMCC-CESM_r1i1p1.ncml,CMIP5.dic
CMIP5_CMCC-CM_r1i1p1_historical,projection,/oceano/gmeteo/WORK/PROYECTOS/2018_IPCC/tds-cluster/scenarios/data.meteo.unican.es/ncmls/ipcc-ar5/cmip5/historical/historical_day_CMCC-CM_r1i1p1.ncml,CMIP5.dic
CMIP5_CMCC-CMS_r1i1p1_historical,projection,/oceano/gmeteo/WORK/PROYECTOS/2018_IPCC/tds-cluster/scenarios/data.meteo.unican.es/ncmls/ipcc-ar5/cmip5/historical/historical_day_CMCC-CMS_r1i1p1.ncml,CMIP5.dic
