name,type,url,dicname
CORDEXmon-WAS-22_ECMWF-ERAINT_evaluation_r1i1p1_CLMcom-ETH-COSMO-crCLIM-v1-1_v1,projection,https://data.meteo.unican.es/thredds/dodsC/devel/c3s34d/CORDEX/output/WAS-22/ECMWF-ERAINT/evaluation/CLMcom-ETH-COSMO-crCLIM-v1-1/v1/mon/CORDEX_output_WAS-22_ECMWF-ERAINT_evaluation_r1i1p1_CLMcom-ETH-COSMO-crCLIM-v1-1_v1_mon,CORDEXmon.dic
CORDEXmon-WAS-22_ECMWF-ERAINT_evaluation_r1i1p1_GERICS-REMO2015_v1,projection,https://data.meteo.unican.es/thredds/dodsC/devel/c3s34d/CORDEX/output/WAS-22/ECMWF-ERAINT/evaluation/GERICS-REMO2015/v1/mon/CORDEX_output_WAS-22_ECMWF-ERAINT_evaluation_r1i1p1_GERICS-REMO2015_v1_mon,CORDEXmon.dic
CORDEXmon-WAS-22_ECMWF-ERAINT_evaluation_r1i1p1_ICTP-RegCM4-7_v0,projection,https://data.meteo.unican.es/thredds/dodsC/devel/c3s34d/CORDEX/output/WAS-22/ECMWF-ERAINT/evaluation/ICTP-RegCM4-7/v0/mon/CORDEX_output_WAS-22_ECMWF-ERAINT_evaluation_r1i1p1_ICTP-RegCM4-7_v0_mon,CORDEXmon.dic
CORDEXmon-WAS-22_MOHC-HadGEM2-ES_historical_r1i1p1_GERICS-REMO2015_v1,projection,https://data.meteo.unican.es/thredds/dodsC/devel/c3s34d/CORDEX/output/WAS-22/MOHC-HadGEM2-ES/historical/GERICS-REMO2015/v1/mon/CORDEX_output_WAS-22_MOHC-HadGEM2-ES_historical_r1i1p1_GERICS-REMO2015_v1_mon,CORDEXmon.dic
CORDEXmon-WAS-22_MOHC-HadGEM2-ES_rcp26_r1i1p1_GERICS-REMO2015_v1,projection,https://data.meteo.unican.es/thredds/dodsC/devel/c3s34d/CORDEX/output/WAS-22/MOHC-HadGEM2-ES/rcp26/GERICS-REMO2015/v1/mon/CORDEX_output_WAS-22_MOHC-HadGEM2-ES_rcp26_r1i1p1_GERICS-REMO2015_v1_mon,CORDEXmon.dic
CORDEXmon-WAS-22_MOHC-HadGEM2-ES_rcp85_r1i1p1_GERICS-REMO2015_v1,projection,https://data.meteo.unican.es/thredds/dodsC/devel/c3s34d/CORDEX/output/WAS-22/MOHC-HadGEM2-ES/rcp85/GERICS-REMO2015/v1/mon/CORDEX_output_WAS-22_MOHC-HadGEM2-ES_rcp85_r1i1p1_GERICS-REMO2015_v1_mon,CORDEXmon.dic
CORDEXmon-WAS-22_MPI-M-MPI-ESM-LR_historical_r1i1p1_GERICS-REMO2015_v1,projection,https://data.meteo.unican.es/thredds/dodsC/devel/c3s34d/CORDEX/output/WAS-22/MPI-M-MPI-ESM-LR/historical/GERICS-REMO2015/v1/mon/CORDEX_output_WAS-22_MPI-M-MPI-ESM-LR_historical_r1i1p1_GERICS-REMO2015_v1_mon,CORDEXmon.dic
CORDEXmon-WAS-22_MPI-M-MPI-ESM-LR_rcp26_r1i1p1_GERICS-REMO2015_v1,projection,https://data.meteo.unican.es/thredds/dodsC/devel/c3s34d/CORDEX/output/WAS-22/MPI-M-MPI-ESM-LR/rcp26/GERICS-REMO2015/v1/mon/CORDEX_output_WAS-22_MPI-M-MPI-ESM-LR_rcp26_r1i1p1_GERICS-REMO2015_v1_mon,CORDEXmon.dic
CORDEXmon-WAS-22_MPI-M-MPI-ESM-LR_rcp85_r1i1p1_GERICS-REMO2015_v1,projection,https://data.meteo.unican.es/thredds/dodsC/devel/c3s34d/CORDEX/output/WAS-22/MPI-M-MPI-ESM-LR/rcp85/GERICS-REMO2015/v1/mon/CORDEX_output_WAS-22_MPI-M-MPI-ESM-LR_rcp85_r1i1p1_GERICS-REMO2015_v1_mon,CORDEXmon.dic
CORDEXmon-WAS-22_NCC-NorESM1-M_historical_r1i1p1_GERICS-REMO2015_v1,projection,https://data.meteo.unican.es/thredds/dodsC/devel/c3s34d/CORDEX/output/WAS-22/NCC-NorESM1-M/historical/GERICS-REMO2015/v1/mon/CORDEX_output_WAS-22_NCC-NorESM1-M_historical_r1i1p1_GERICS-REMO2015_v1_mon,CORDEXmon.dic
CORDEXmon-WAS-22_NCC-NorESM1-M_rcp26_r1i1p1_GERICS-REMO2015_v1,projection,https://data.meteo.unican.es/thredds/dodsC/devel/c3s34d/CORDEX/output/WAS-22/NCC-NorESM1-M/rcp26/GERICS-REMO2015/v1/mon/CORDEX_output_WAS-22_NCC-NorESM1-M_rcp26_r1i1p1_GERICS-REMO2015_v1_mon,CORDEXmon.dic
CORDEXmon-WAS-22_NCC-NorESM1-M_rcp85_r1i1p1_GERICS-REMO2015_v1,projection,https://data.meteo.unican.es/thredds/dodsC/devel/c3s34d/CORDEX/output/WAS-22/NCC-NorESM1-M/rcp85/GERICS-REMO2015/v1/mon/CORDEX_output_WAS-22_NCC-NorESM1-M_rcp85_r1i1p1_GERICS-REMO2015_v1_mon,CORDEXmon.dic
CORDEXmon-WAS-44_CCCma-CanESM2_historical_r1i1p1_IITM-RegCM4-4_v5,projection,https://data.meteo.unican.es/thredds/dodsC/devel/c3s34d/CORDEX/output/WAS-44/CCCma-CanESM2/historical/IITM-RegCM4-4/v5/mon/CORDEX_output_WAS-44_CCCma-CanESM2_historical_r1i1p1_IITM-RegCM4-4_v5_mon,CORDEXmon.dic
CORDEXmon-WAS-44_CCCma-CanESM2_historical_r1i1p1_SMHI-RCA4_v2,projection,https://data.meteo.unican.es/thredds/dodsC/devel/c3s34d/CORDEX/output/WAS-44/CCCma-CanESM2/historical/SMHI-RCA4/v2/mon/CORDEX_output_WAS-44_CCCma-CanESM2_historical_r1i1p1_SMHI-RCA4_v2_mon,CORDEXmon.dic
CORDEXmon-WAS-44_CCCma-CanESM2_rcp45_r1i1p1_IITM-RegCM4-4_v5,projection,https://data.meteo.unican.es/thredds/dodsC/devel/c3s34d/CORDEX/output/WAS-44/CCCma-CanESM2/rcp45/IITM-RegCM4-4/v5/mon/CORDEX_output_WAS-44_CCCma-CanESM2_rcp45_r1i1p1_IITM-RegCM4-4_v5_mon,CORDEXmon.dic
CORDEXmon-WAS-44_CCCma-CanESM2_rcp45_r1i1p1_SMHI-RCA4_v2,projection,https://data.meteo.unican.es/thredds/dodsC/devel/c3s34d/CORDEX/output/WAS-44/CCCma-CanESM2/rcp45/SMHI-RCA4/v2/mon/CORDEX_output_WAS-44_CCCma-CanESM2_rcp45_r1i1p1_SMHI-RCA4_v2_mon,CORDEXmon.dic
CORDEXmon-WAS-44_CCCma-CanESM2_rcp85_r1i1p1_IITM-RegCM4-4_v5,projection,https://data.meteo.unican.es/thredds/dodsC/devel/c3s34d/CORDEX/output/WAS-44/CCCma-CanESM2/rcp85/IITM-RegCM4-4/v5/mon/CORDEX_output_WAS-44_CCCma-CanESM2_rcp85_r1i1p1_IITM-RegCM4-4_v5_mon,CORDEXmon.dic
CORDEXmon-WAS-44_CCCma-CanESM2_rcp85_r1i1p1_SMHI-RCA4_v2,projection,https://data.meteo.unican.es/thredds/dodsC/devel/c3s34d/CORDEX/output/WAS-44/CCCma-CanESM2/rcp85/SMHI-RCA4/v2/mon/CORDEX_output_WAS-44_CCCma-CanESM2_rcp85_r1i1p1_SMHI-RCA4_v2_mon,CORDEXmon.dic
CORDEXmon-WAS-44_CNRM-CERFACS-CNRM-CM5_historical_r1i1p1_IITM-RegCM4-4_v5,projection,https://data.meteo.unican.es/thredds/dodsC/devel/c3s34d/CORDEX/output/WAS-44/CNRM-CERFACS-CNRM-CM5/historical/IITM-RegCM4-4/v5/mon/CORDEX_output_WAS-44_CNRM-CERFACS-CNRM-CM5_historical_r1i1p1_IITM-RegCM4-4_v5_mon,CORDEXmon.dic
CORDEXmon-WAS-44_CNRM-CERFACS-CNRM-CM5_historical_r1i1p1_SMHI-RCA4_v2,projection,https://data.meteo.unican.es/thredds/dodsC/devel/c3s34d/CORDEX/output/WAS-44/CNRM-CERFACS-CNRM-CM5/historical/SMHI-RCA4/v2/mon/CORDEX_output_WAS-44_CNRM-CERFACS-CNRM-CM5_historical_r1i1p1_SMHI-RCA4_v2_mon,CORDEXmon.dic
