name,type,url,dicname
WATCH_WFDEI,observation,https://data.meteo.unican.es/thredds/dodsC/wfdei/wfdei_daily.ncml,WATCH_WFDEI.dic
PIK_Obs-EWEMBI,observation,https://data.meteo.unican.es/thredds/dodsC/ewembi/ewembi_daily.ncml,EWEMBI_DM.dic
E-OBS_v14_0.50regular,observation,https://data.meteo.unican.es/thredds/dodsC/eobs/e-obs_v14_0.50regular.ncml,E-OBS_v14.dic
E-OBS_v14_0.44rotated,observation,https://data.meteo.unican.es/thredds/dodsC/eobs/e-obs_v14_0.44rotated.ncml,E-OBS_v14.dic
E-OBS_v14_0.25regular,observation,https://data.meteo.unican.es/thredds/dodsC/eobs/e-obs_v14_0.25regular.ncml,E-OBS_v14.dic
E-OBS_v14_0.22rotated,observation,https://data.meteo.unican.es/thredds/dodsC/eobs/e-obs_v14_0.22rotated.ncml,E-OBS_v14.dic
E-OBS_v17_0.50regular,observation,https://data.meteo.unican.es/thredds/dodsC/eobs/e-obs_v17_0.50regular.ncml,E-OBS_v17.dic
E-OBS_v17_0.44rotated,observation,https://data.meteo.unican.es/thredds/dodsC/eobs/e-obs_v17_0.44rotated.ncml,E-OBS_v17.dic
E-OBS_v17_0.25regular,observation,https://data.meteo.unican.es/thredds/dodsC/eobs/e-obs_v17_0.25regular.ncml,E-OBS_v17.dic
E-OBS_v17_0.22rotated,observation,https://data.meteo.unican.es/thredds/dodsC/eobs/e-obs_v17_0.22rotated.ncml,E-OBS_v17.dic
E-OBS_v21e_0.10regular,observation,/lustre/gmeteo/DATA/ECA/EOBS/Grid_0.10deg_reg/v21e/e-obs_v21e_0.10regular.ncml,E-OBS_v21e.dic
UC-Spain02_11,observation,https://data.meteo.unican.es/thredds/dodsC/Spain02/Spain011_aa_3d.ncml,UC-Spain02.dic
UC-Spain02_22,observation,https://data.meteo.unican.es/thredds/dodsC/Spain02/Spain022_aa_3d.ncml,UC-Spain02.dic
UC-Spain02_44,observation,https://data.meteo.unican.es/thredds/dodsC/Spain02/Spain044_aa_3d.ncml,UC-Spain02.dic
GPCCmon,observation,https://data.meteo.unican.es/thredds/dodsC/gpcc/gpcc_v2018_Grid050.ncml,GPCC.dic
GPCC,observation,https://data.meteo.unican.es/thredds/dodsC/gpcc/gpcc_v2018_daily_Grid100.ncml,GPCC.dic
GPCPmon,observation,https://data.meteo.unican.es/thredds/dodsC/gpcp/gpcp_sg_l3_v2.3.ncml,GPCP.dic
GPCP,observation,https://data.meteo.unican.es/thredds/dodsC/gpcp/gpcp_1dd_l3_v1.3.ncml,GPCP.dic
CRU-TS,observation,https://data.meteo.unican.es/thredds/dodsC/cru/cru_ts_4.03.ncml,CRU-TS.dic
BEST,observation,https://data.meteo.unican.es/thredds/dodsC/best/BEST_complete_day_LatLong1.ncml,BEST.dic
BESTmon,observation,https://data.meteo.unican.es/thredds/dodsC/best/BEST_complete_mon_LatLong1.ncml,BESTmon.dic
W5E5,observation,https://data.meteo.unican.es/thredds/dodsC/mirrors/W5E5/w5e5_20210705,W5E5.dic
