name,type,url,dicname
CMIP6_AWI-CM-1-1-MR_r1i1p1f1_historical,projection,http://spock.meteo.unican.es/tds5/dodsC/ipcc-ar6/AWI-CM-1-1-MR/historical/day/cmip6_CMIP_AWI_AWI-CM-1-1-MR_historical_r1i1p1f1_gn_day.ncml,CMIP6.dic
CMIP6_AWI-CM-1-1-MR_r1i1p1f1_ssp370,projection,http://spock.meteo.unican.es/tds5/dodsC/ipcc-ar6/AWI-CM-1-1-MR/ssp370/day/cmip6_ScenarioMIP_AWI_AWI-CM-1-1-MR_ssp370_r1i1p1f1_gn_day.ncml,CMIP6.dic
CMIP6_BCC-CSM2-MR_r1i1p1f1_esm-hist,projection,http://spock.meteo.unican.es/tds5/dodsC/ipcc-ar6/BCC-CSM2-MR/esm-hist/day/cmip6_CMIP_BCC_BCC-CSM2-MR_esm-hist_r1i1p1f1_gn_day.ncml,CMIP6.dic
CMIP6_BCC-CSM2-MR_r1i1p1f1_historical,projection,http://spock.meteo.unican.es/tds5/dodsC/ipcc-ar6/BCC-CSM2-MR/historical/day/cmip6_CMIP_BCC_BCC-CSM2-MR_historical_r1i1p1f1_gn_day.ncml,CMIP6.dic
CMIP6_BCC-ESM1_r1i1p1f1_historical,projection,http://spock.meteo.unican.es/tds5/dodsC/ipcc-ar6/BCC-ESM1/historical/day/cmip6_CMIP_BCC_BCC-ESM1_historical_r1i1p1f1_gn_day.ncml,CMIP6.dic
CMIP6_CanESM5_r1i1p1f1_esm-hist,projection,http://spock.meteo.unican.es/tds5/dodsC/ipcc-ar6/CanESM5/esm-hist/day/cmip6_CMIP_CCCma_CanESM5_esm-hist_r1i1p1f1_gn_day.ncml,CMIP6.dic
CMIP6_CanESM5_r1i1p1f1_historical,projection,http://spock.meteo.unican.es/tds5/dodsC/ipcc-ar6/CanESM5/historical/day/cmip6_CMIP_CCCma_CanESM5_historical_r1i1p1f1_gn_day.ncml,CMIP6.dic
CMIP6_CanESM5_r1i1p2f1_ssp126,projection,http://spock.meteo.unican.es/tds5/dodsC/ipcc-ar6/CanESM5/ssp126/day/cmip6_ScenarioMIP_CCCma_CanESM5_ssp126_r1i1p2f1_gn_day.ncml,CMIP6.dic
CMIP6_CanESM5_r1i1p1f1_ssp245,projection,http://spock.meteo.unican.es/tds5/dodsC/ipcc-ar6/CanESM5/ssp245/day/cmip6_ScenarioMIP_CCCma_CanESM5_ssp245_r1i1p1f1_gn_day.ncml,CMIP6.dic
CMIP6_CanESM5_r1i1p1f1_ssp370,projection,http://spock.meteo.unican.es/tds5/dodsC/ipcc-ar6/CanESM5/ssp370/day/cmip6_ScenarioMIP_CCCma_CanESM5_ssp370_r1i1p1f1_gn_day.ncml,CMIP6.dic
CMIP6_CanESM5_r1i1p1f1_ssp460,projection,http://spock.meteo.unican.es/tds5/dodsC/ipcc-ar6/CanESM5/ssp460/day/cmip6_ScenarioMIP_CCCma_CanESM5_ssp460_r1i1p1f1_gn_day.ncml,CMIP6.dic
CMIP6_CanESM5_r1i1p1f1_ssp585,projection,http://spock.meteo.unican.es/tds5/dodsC/ipcc-ar6/CanESM5/ssp585/day/cmip6_ScenarioMIP_CCCma_CanESM5_ssp585_r1i1p1f1_gn_day.ncml,CMIP6.dic
CMIP6_CESM2-WACCM_r1i1p1f1_historical,projection,http://spock.meteo.unican.es/tds5/dodsC/ipcc-ar6/CESM2-WACCM/historical/day/cmip6_CMIP_NCAR_CESM2-WACCM_historical_r1i1p1f1_gn_day.ncml,CMIP6.dic
CMIP6_CESM2-WACCM_r1i1p1f1_ssp126,projection,http://spock.meteo.unican.es/tds5/dodsC/ipcc-ar6/CESM2-WACCM/ssp126/day/cmip6_ScenarioMIP_NCAR_CESM2-WACCM_ssp126_r1i1p1f1_gn_day.ncml,CMIP6.dic
CMIP6_CESM2-WACCM_r1i1p1f1_ssp245,projection,http://spock.meteo.unican.es/tds5/dodsC/ipcc-ar6/CESM2-WACCM/ssp245/day/cmip6_ScenarioMIP_NCAR_CESM2-WACCM_ssp245_r1i1p1f1_gn_day.ncml,CMIP6.dic
